Project,Commit,Number,CodeBLEU,BLEU,Weighted BLEU,Syntax Match,Dataflow Match
basex,e517408edd509bc850dff794975b82a2e814553b,1,0.5720638354863201,0.4570365677401843,0.5217782147645365,0.38636363636363635,0.9230769230769231
basex,e517408edd509bc850dff794975b82a2e814553b,2,0.626904717431195,0.488885865994124,0.6624111646501963,0.6896551724137931,0.6666666666666666
basex,e88239fd0304c75b3e0f1a75ad2e652376b6687d,1,0.6731837797406148,0.5757077419074379,0.626040826413146,0.8014888337468983,0.6894977168949772
basex,eb600dda940fc0c86321323ca0ddf9a70ebbdca1,1,0.7901644181306341,0.6989815540817378,0.7950094517741318,0.6666666666666666,1.0
basex,f5f62ee7300020f0ff060191ba18ea62ff6fc059,1,0.9296855224293207,0.8280022857552578,0.9764540896763105,0.9142857142857143,1.0
basex,f5f62ee7300020f0ff060191ba18ea62ff6fc059,2,0.7906895297746336,0.4407861439042959,0.9094719751942385,0.8125,1.0
basex,fc1025bf495008bca93cbe046e1a68ed41f2433a,1,0.9332898001355262,0.9475691375424602,0.9483807606740633,0.8372093023255814,1.0
commons-lang,5292526e476ffbb19c6613a98464054236c86ace,1,0.9373799140583734,0.9161034104971004,0.9038387809476609,0.9295774647887324,1.0
commons-lang,5292526e476ffbb19c6613a98464054236c86ace,2,0.8167194677586573,0.6838857661234987,0.7258492477682733,0.8571428571428571,1.0
commons-lang,5292526e476ffbb19c6613a98464054236c86ace,3,1.0,1.0,1.0,1.0,1.0
commons-lang,52bcd9b8e82d4d1d287b0d75df1e161aff8c65ab,1,1.0,1.0,1.0,1.0,1.0
commons-lang,96c30e248d6d27a1df8e26be14aa10c633168cdb,1,1.0,1.0,1.0,1.0,1.0
commons-lang,96c30e248d6d27a1df8e26be14aa10c633168cdb,2,1.0,1.0,1.0,1.0,1.0
commons-lang,d21a59baa559f57ead53a5bab22d60333dc46041,1,0.9695364395893593,0.9456285890171634,0.9462157994772602,1.0,0.9863013698630136
commons-lang,ff5b829efdb1f4ba42f516a030faf40a923da779,1,0.839404248300262,0.6745478828833206,0.6830691103177273,1.0,1.0
datumbox-framework,082e6c44f04813d2164d6f7d8c878484edfff219,1,1.0,1.0,1.0,1.0,1.0
datumbox-framework,082e6c44f04813d2164d6f7d8c878484edfff219,2,0.8641283832225408,0.5908778829586253,0.8656356499315382,1.0,1.0
datumbox-framework,3ee9d3a883f6c108b9f208c1757b8cc20b1a79ae,1,1.0,1.0,1.0,1.0,1.0
datumbox-framework,3ee9d3a883f6c108b9f208c1757b8cc20b1a79ae,2,0.9531273850998605,0.9049729260191665,0.9075366143802753,1.0,1.0
datumbox-framework,625cb31389ec422fcf32f338268f75ff725f0dca,1,0.9173841149446363,0.9708187854150715,0.9794869051327046,0.9692307692307692,0.75
datumbox-framework,8939b6885e3447c118cc1cd7e05044e734058882,1,0.9899345631379616,0.979629900343721,0.9801083522081252,1.0,1.0
datumbox-framework,d7344785d7ba51ff432881980f79f207a820034c,1,0.8153306353911489,0.8394916458208288,0.8358087901280475,0.9822485207100592,0.6037735849056604
datumbox-framework,eb4320230d0dd6392c028affa51f85e44cf977a3,1,0.8914045370775463,0.8696348213631525,0.8715960720450718,0.98125,0.8431372549019608
datumbox-framework,f5012db8f60255f8804ebb58330cc6d7f27a414d,1,0.9367816882448782,0.8773004430149,0.8797273000636227,1.0,0.9900990099009901
dddlib,32f7a3d1d6d33c31e154fe893ab8ea3b73b32389,1,1.0,1.0,1.0,1.0,0
dddlib,32f7a3d1d6d33c31e154fe893ab8ea3b73b32389,2,0.5998669461854332,0.37200908038405156,0.39587975698926026,0.631578947368421,0
dddlib,32f7a3d1d6d33c31e154fe893ab8ea3b73b32389,3,0.6395544452766615,0.47750342648354643,0.4924790605054523,0.5882352941176471,0
dddlib,32f7a3d1d6d33c31e154fe893ab8ea3b73b32389,4,0.5998669461854332,0.37200908038405156,0.39587975698926026,0.631578947368421,0
dddlib,566855c10bb0d875e493ef0c5d4d075c80c20a78,1,0.7344883919932664,0.587728372510532,0.6660146691467445,0.6842105263157895,0.0
dddlib,566855c10bb0d875e493ef0c5d4d075c80c20a78,2,0.725200466296672,0.587728372510532,0.6660146691467445,0.6470588235294118,0.0
dddlib,566855c10bb0d875e493ef0c5d4d075c80c20a78,3,1.0,1.0,1.0,1.0,1.0
dddlib,566855c10bb0d875e493ef0c5d4d075c80c20a78,4,0.6913380597704505,0.5133450480401704,0.6049483675122199,0.6470588235294118,0.0
openmrs-core,064c674d80df1a81d3cfa11ff2108728e978cd5c,1,0.7105126995814606,0.20970546349635708,0.8228215253056754,0.8333333333333334,0.9761904761904762
openmrs-core,2012ab3494795b7656ef4d2542d4f67ee10b168f,1,1.0,1.0,1.0,1.0,1.0
openmrs-core,2f86fa835f7d30d6a2646d9388a9453101b8b2dd,1,1.0,1.0,1.0,1.0,1.0
openmrs-core,2f888dceb5bdb71589beaaddf47d66a20fda689d,1,0.6991615504839864,0.7878654975143033,0.7992568948978326,0.8095238095238095,0.4
openmrs-core,4144b0ddf8cd9ddf8ca855481670ba614163c15b,1,0.8097689142838673,0.6592251779921132,0.6851136370380927,0.8947368421052632,1.0
openmrs-core,64374d09d9a12ed8e9b5020d964c638c0f70ebf7,1,0.9403880440456605,0.8787419089273848,0.882810267255257,1.0,1.0
openmrs-core,6b55b67c68847424cec320af4ace4f45c19b8edc,1,0.8466095590554705,0.7990456121647639,0.8169008207784298,0.7704918032786885,1.0
openmrs-core,76e4606868e0844c1e08a46260f3464c4b504538,1,0.43248362188561107,0.10987588330945763,0.3248205089948916,0.6285714285714286,0.6666666666666666
openmrs-core,79bbb323e59f835627a751a1f44feed5bfcdeb56,1,0.6987170239974062,0.3521082926433174,0.5927598033463076,0.85,1.0
openmrs-core,830974dbc8044423c4b9a712d760b78fa7419670,1,0.9540191200793486,0.907286394699989,0.9087900856174055,1.0,1.0
openmrs-core,87dce904ef02a942534ee284e610789f1bc9a19e,1,0.6927892798536184,0.5361826911532206,0.5492601425469671,0.6857142857142857,1.0
openmrs-core,8926e79cf78544f5ad4d694d72a32322a84fdc0a,1,0.9198740035225665,0.9370011451812967,0.9385733002815188,0.803921568627451,1.0
openmrs-core,8ccfb0b9cdcc658f5c2819ff5c05b24388291cfd,1,0.9521469165959842,0.9026224878032448,0.905965178580692,1.0,1.0
openmrs-core,9e2dd08167fc62d94ca4d80db999b315cedce881,1,0.6758527804926631,0.7202093506938777,0.7271042103011651,0.7560975609756098,0.5
openmrs-core,9fd15eaf32b7daa967c4a4c3eab42144bfd5ab56,1,1.0,1.0,1.0,1.0,1.0
openmrs-core,9fd15eaf32b7daa967c4a4c3eab42144bfd5ab56,2,0.8604072284515671,0.5665723965511863,0.9287552694832464,0.9659090909090909,0.9803921568627451
openmrs-core,a72954e5c3fd360f1a855ed42ae562478b06f065,1,0.6958457799907543,0.1543264810083324,0.8009316389546848,0.828125,1.0
openmrs-core,ab6705fa96f3f623fef51e99536c2116fd9b2a38,1,0.5675221554503302,0.5440577076934588,0.5569132670490387,0.7941176470588235,0.375
openmrs-core,b060cef9f7c769eb5265f0d458810db321a8c26e,1,0.9788135085328282,0.9564648397972634,0.9587891943340493,1.0,1.0
openmrs-core,c593b2fa80d74ac6bbcb58a4a578825af9189af6,1,0.7210365168690185,0.5140088547588707,0.6016774733252886,0.8904109589041096,0.8780487804878049
openmrs-core,c9df406f77b2b4ffbcbd788d2fd118c7f2cfc262,1,1.0,1.0,1.0,1.0,1.0
openmrs-core,d43ce19c062232b9aa3065d4b7e5a4804db18c3c,1,0.9473246620874816,0.8227085771617857,0.9665900711881406,1.0,1.0
openmrs-core,d846c3fa80d8552ea6fd1b4f36cbdda1373db5e0,1,0.9802587215712756,0.931506892120709,0.9895279941643932,1.0,1.0
openmrs-core,da12f21c545d8c4994dccbd2d08bc4c962811d9d,1,0.9155814738130648,0.7446081047473998,0.9177177905048594,1.0,1.0
openmrs-core,eadd56c5f9fb4479d5724ce0b021eb683da6970a,1,0.9581507979196237,0.9024521756077707,0.9301510160707239,1.0,0
openmrs-core,ee14c1d155260ebc7c3c1da0a212ba417ce9f0b0,1,0.7209205023216232,0.5399514744329021,0.6084364172065316,0.7352941176470589,1.0
openmrs-core,f06c751029ed58ffd232b80a35dbbaf43a5480fb,1,0.5683729740528746,0.3133619308065789,0.6351299654049192,0.725,0.6
openmrs-core,f6844fdf473e413475166f58dbf9c3f6d605452f,1,1.0,1.0,1.0,1.0,0
openmrs-core,f766133495c84912b7857c5ed2bf300fc7715cd8,1,0.33356032578966593,0.026041714489789584,0.030421810891096437,0.2777777777777778,0
springside4,4a3af887c465fc667af48da4e4214123cee4c85a,1,0.7986517066738684,0.5923033072023249,0.6023035194931489,1.0,1.0
springside4,4a3af887c465fc667af48da4e4214123cee4c85a,2,0.9476369457343529,0.8942255541978509,0.8963222287395607,1.0,1.0
springside4,e819fbcefd7e4e4bbc8cce3420ddf0bfe51dcec7,1,1.0,1.0,1.0,1.0,1.0
Average,,,0.8203901876731358,0.7333639924542721,0.7935210487348373,0.8629672698157401,0.794621061046916
