Project,Commit,Number,CodeBLEU,BLEU,Weighted BLEU,Syntax Match,Dataflow Match
basex,01263733de032973fbb79cb340a19d62eff5b110,1,0.9856649094501349,0.9719153825978758,0.9814394423684389,0.9893048128342246,1.0
basex,05abf5c850adf517bfb92217b696f8d6d5f2b479,1,0.7497259241272077,0.5647534509609041,0.8312090690773385,0.8529411764705882,0.75
basex,05abf5c850adf517bfb92217b696f8d6d5f2b479,2,1.0,1.0,1.0,1.0,1.0
basex,072ad18b42631e6a3711dcc1a6a8a60c8e185b87,1,1.0,1.0,1.0,1.0,1.0
basex,0b2ef31462791b3f8266504ae39274f0b3ed6149,1,0.9175229528906965,0.8960608210656144,0.9026947407457301,0.9649532710280374,0.9063829787234042
basex,0b2ef31462791b3f8266504ae39274f0b3ed6149,2,0.09947115189108696,0.00873270523048213,0.009256945973318893,0.24766355140186916,0.1322314049586777
basex,1a755c51927dacc36ce6120f9500f1cead60c332,1,0.20760375859991287,0.05541754715439561,0.07171754826737638,0.37719298245614036,0.32608695652173914
basex,1d8e507548c8c23ab519a858116e358c0a56f447,1,0.9596841597014815,0.910472184422028,0.9920942416179405,0.9361702127659575,1.0
basex,3258c0134d0b63b42a77d8639ab7fb68c0ea2029,1,0.9218197757836637,0.8904325916439401,0.8886370738695127,0.967032967032967,0.9411764705882353
basex,3592d779fb5d362318f106a42d10cd31ce7535b3,1,0.26174055773462757,0.21787263194411602,0.224210925036773,0.39952153110047844,0.20535714285714285
basex,3ce70bc7a127c65cd232ff4d7f13718a41380a63,1,0.8108898764733994,0.8943307023338123,0.9306058527401134,0.976,0.4426229508196721
basex,47008ba7ed5b4d310ff39a8440aa2c7fcac57a11,1,0.951327526788336,0.8823438293284935,0.9632593181178908,0.9835164835164835,0.9761904761904762
basex,49a80aa19cf04e5c7c76fb5e2db2a25b37fe46db,1,0.1633084583387989,0.010471921873035864,0.10704762576787402,0.2857142857142857,0.25
basex,4b515e2558d22fc7982c09a63a1fa2a57c34fb9d,1,0.8938509098859048,0.7464722543521587,0.8494793303969397,0.9794520547945206,1.0
basex,5570aea8cba14a83f1441b62d3bb1e2255af2761,2,0.9558118890083377,0.9099951253570094,0.9132524306763412,1.0,1.0
